Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,P1,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
1,P1.01,446.006250,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
2,P1.02,446.006250,,0.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
3,P1.03,446.006250,,0.000000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
4,P1.04,446.006250,,0.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
5,P1.05,446.006250,,0.000000,Tone,79.7,88.5,023,NN,NFM,5.00,,,,,,
6,P1.06,446.006250,,0.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
7,P1.07,446.006250,,0.000000,Tone,85.4,88.5,023,NN,NFM,5.00,,,,,,
8,P1.08,446.006250,,0.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,P1.09,446.006250,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
10,P1.10,446.006250,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
11,P1.11,446.006250,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
12,P1.12,446.006250,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
13,P1.13,446.006250,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
14,P1.14,446.006250,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
15,P1.15,446.006250,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
16,P2,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,P2.01,446.018750,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
18,P2.02,446.018750,,0.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
19,P2.03,446.018750,,0.000000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
20,P2.04,446.018750,,0.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
21,P2.05,446.018750,,0.000000,Tone,79.7,88.5,023,NN,NFM,5.00,,,,,,
22,P2.06,446.018750,,0.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
23,P2.07,446.018750,,0.000000,Tone,85.4,88.5,023,NN,NFM,5.00,,,,,,
24,P2.08,446.018750,,0.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,P2.09,446.018750,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
26,P2.10,446.018750,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
27,P2.11,446.018750,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
28,P2.12,446.018750,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
29,P2.13,446.018750,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
30,P2.14,446.018750,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
31,P2.15,446.018750,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
32,P3,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,P3.01,446.031250,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
34,P3.02,446.031250,,0.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
35,P3.03,446.031250,,0.000000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
36,P3.04,446.031250,,0.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
37,P3.05,446.031250,,0.000000,Tone,79.7,88.5,023,NN,NFM,5.00,,,,,,
38,P3.06,446.031250,,0.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
39,P3.07,446.031250,,0.000000,Tone,85.4,88.5,023,NN,NFM,5.00,,,,,,
40,P3.08,446.031250,,0.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
41,P3.09,446.031250,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
42,P3.10,446.031250,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
43,P3.11,446.031250,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
44,P3.12,446.031250,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
45,P3.13,446.031250,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
46,P3.14,446.031250,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
47,P3.15,446.031250,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
48,P4,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
49,P4.01,446.043750,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
50,P4.02,446.043750,,0.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
51,P4.03,446.043750,,0.000000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
52,P4.04,446.043750,,0.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
53,P4.05,446.043750,,0.000000,Tone,79.7,88.5,023,NN,NFM,5.00,,,,,,
54,P4.06,446.043750,,0.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
55,P4.07,446.043750,,0.000000,Tone,85.4,88.5,023,NN,NFM,5.00,,,,,,
56,P4.08,446.043750,,0.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
57,P4.09,446.043750,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
58,P4.10,446.043750,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
59,P4.11,446.043750,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
60,P4.12,446.043750,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
61,P4.13,446.043750,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
62,P4.14,446.043750,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
63,P4.15,446.043750,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
64,P5,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
65,P5.01,446.056250,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
66,P5.02,446.056250,,0.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
67,P5.03,446.056250,,0.000000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
68,P5.04,446.056250,,0.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
69,P5.05,446.056250,,0.000000,Tone,79.7,88.5,023,NN,NFM,5.00,,,,,,
70,P5.06,446.056250,,0.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
71,P5.07,446.056250,,0.000000,Tone,85.4,88.5,023,NN,NFM,5.00,,,,,,
72,P5.08,446.056250,,0.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,P5.09,446.056250,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
74,P5.10,446.056250,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
75,P5.11,446.056250,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
76,P5.12,446.056250,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
77,P5.13,446.056250,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
78,P5.14,446.056250,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
79,P5.15,446.056250,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
80,P6,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,P6.01,446.068750,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
82,P6.02,446.068750,,0.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
83,P6.03,446.068750,,0.000000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
84,P6.04,446.068750,,0.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
85,P6.05,446.068750,,0.000000,Tone,79.7,88.5,023,NN,NFM,5.00,,,,,,
86,P6.06,446.068750,,0.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
87,P6.07,446.068750,,0.000000,Tone,85.4,88.5,023,NN,NFM,5.00,,,,,,
88,P6.08,446.068750,,0.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
89,P6.09,446.068750,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
90,P6.10,446.068750,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
91,P6.11,446.068750,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
92,P6.12,446.068750,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
93,P6.13,446.068750,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
94,P6.14,446.068750,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
95,P6.15,446.068750,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
96,P7,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
